"Transcript file","Anchor 1: Values","Anchor 2: Capabilities and Constraints","Anchor 3: Meanings and Practices","Anchor 4: Misalignment","Anchor 5: Provocation"
"transcripts/Co design systhesis Transcripts/transcript_workshop1.txt","TEAM framing (no community present). Efficiency, optimization and cost reduction dominate; removing the human is treated as a gain: ""AV can anticipate the shortage of food. No communication from human"" (CLUSTER: Communication, [Idea]). A relational minority pushes back: ""How might we ensure there is a human element/touch with AVs used as a social service for those they serve, delivery"" (CLUSTER: Logistics, [HMW]).","Constraints the team names FOR the community: time poverty, information gaps, being homebound, aging volunteers, missing rural infrastructure. ""How might we design a moving spaces to solve neighbors service access issues (time constraint, information gap)"" (CLUSTER: Community Resource Connection, [HMW]). Capability-as-asset framing is largely absent; the community is framed as a problem to solve, not a set of existing capacities.","Mobility framed almost entirely as logistics: moving food, supplies and labor between banks, pantries and doors. ""Community AV that all pantries have access to for pantry to pantry transportation (volunteers, food, supplies)"" (CLUSTER: Food Supply Demand, [Idea]). A competing meaning surfaces in a few stickies: ""Using AV's to pick up people instead of food"" (CLUSTER: Logistics, [Idea]).","This transcript is itself an artifact of the misalignment: efficiency logic is the design team's own first instinct, not an outside vendor's. Face verification and access codes vs low-barrier help: ""Should have some sort of face verification to ensure food is handed to the right person"" (CLUSTER: Privacy, [Idea]). Loneliness reframed as a machine feature: ""Senior citizens are lonely, become friends with AV"" (CLUSTER: Logistics, [Idea]). Value at stake: relational trust.","YES, the whole session is a speculative AV brainstorm (internal team). Ideas: mobile pantries and common spaces that park and wait for neighbors; AVs as connective infrastructure linking farmers, banks, pantries and families; AVs for people not food (rides to medical appointments, homebound neighbors, aging volunteers); refrigerated AV storage for pantries. ""How might AV help home bound neighbors come to the pantry"" (CLUSTER: Home Bound Neighbors, [HMW]). Concerns attached: client data privacy, keeping a human in delivery, not losing the pantry as a social hub. No sticky names who would be excluded."
"transcripts/Co design systhesis Transcripts/transcript_workshop3.txt","STAKEHOLDERS and planners (no clients present). Social service framed as relational, not transactional, and named as something AV design must be deliberate about: ""Social service meaning relational engagement not transactional"" (SECTION: What would AV address, cluster header). Transit-equity value: serve where people need to go. End-user burden proposed as the success measure against financial ROI: ""new metrics that measure the weights of burden"" (cluster: ROI).","Constraints: transportation is a top client barrier but chronically underfunded and never funded as a primary service (""It is often bundled as a need with grants for other areas rather than being funded as a primary service"", cluster: Funding & decision criteria); fixed-route transit cannot serve the singular or the first/last mile; pantry hours collide with work hours; federal food-program rules generate the friction; homebound people are left out of the ideation itself. Capability framing is thin; nearest is the MPO Serve committee that includes transit riders.","For homebound people the delivery is the human contact: ""Delivery person might be the only point of human contact the home bound people might have"" (cluster: Home Bound). The existing system already moves people to food and food to people through overlapping programs run with heavy coordination cost. Debated: should the AV move food, move people, or move people with food. Routes are drawn by housing density and infrastructure counts; food deserts named as a factor ""but not yet"" used.","Planning done without the community: ""Neighbor have ideas imposed on them. Their needs are not accommodated"" (cluster: People centered, Input/decision making). Value: community participation. Transit optimized for the most people by design does not serve the singular or homebound (equitable access). Funders bundle and underfund transportation (equitable access). Financial ROI is the wrong yardstick for a public-good service. Automaker interest openly named as the driver: ""Biggest ROI of AV as a social service is the adoption rate of AV"" vs ""Serving Automakers interest in building infrastructure"" (board annotation). Value: MaSS vs product-adoption logic.","YES, board framing questions are ""Barriers for AVs adoption"", ""How would AV works in terms of service?"", ""What would AV Address"". Reactions: skepticism it is a general solution (""AV cannot be designed for everyone. It's not the next big solution"", cluster: Personalized services); regional and institutional reluctance to adopt at all; strongest positive use case is small AVs as micro-transit shuttles for the first and last mile between transit lines and pantries; AV as capacity multiplier for the network. Binding condition: it must be intentionally relational and not one-size-fits-all. A cited pilot stat (""G2G Program: 85% success with AV"") has no source in the transcript."
"transcripts/Focus Groups/Plaud Hope_Food_Pantry-transcript.txt","Mutual care as unquestioned duty: ""Nothing. I don't ask questions. Look at you saying nothing. I don't get it. I don't ask questions."" (00:20:56, Speaker 5). Dignity, pride and stigma around asking, sometimes overcoming one's own past judgment (""I ain't going to no pantry... But that was me... I'm the person who need it now"", 00:22:35, Speaker 8). Being known earns exceptions. Faith and the pantry as the last safety net: ""The pantry is all we got to rely on."" (00:17:58, Speaker 1). The ideal meal is people and completeness, not food: ""I want freedom from being broke."" (00:14:09, Speaker 1).","Capabilities: sustained informal care distribution (""Monday through Thursday I'm at her house"", 00:20:31, Speaker 8, on a 93 year old neighbor), lifelong neighborhood knowledge, entrepreneurial skills and credentials, a car that turns one person into a distribution node. Constraints: benefit cliffs (""my dad was $74 over... so you don't get nothing"", 00:41:07), hours cut 40 to 20, no license (""I've never had a license"", 00:47:10), bus stops far from destinations, food desert with predatory pricing, pantry stocks food only not household or hygiene goods, a 2020 record blocking rehire.","Mobility is caregiving: ""you're going to different places trying to just get enough to feed two or three households"" (00:20:13, Speaker 8). One client wakes at 6 a.m. to stand in line, then redistributes to the homebound. Pickup is from inside cars; in winter the line is a line of vehicles and the carless are exposed. Clients also move information, briefing each other on benefit changes, a proposed shelter, a data center. The researcher names the care work as infrastructure: ""carrying each other. That's very precious, kind of using the terms infrastructure."" (00:54:18, Speaker 2).","In-person self-collection rule vs the homebound the community is feeding: ""She can't get out and get this. But then you can't take it to her because the person has to be here to get the benefits."" (00:19:42, Speaker 8); rule rationale is fraud prevention. Zip-code eligibility gates better-stocked pantries. Saturday-morning hours collide with work. Food-only stock misses household and hygiene needs. Hiring systems surface old records. Institutions dropping ""community"" from their names: ""you took the community out"" (00:57:03, Speaker 2). Automation arriving in low-wage work without consultation (White Castle kiosks).","YES, the researcher raises driverless vehicles twice. Cautious yes, framed through personal mobility gaps: ""I would take a car. You know why?... I don't know how to drive. I've never had a license. If a car could drive me... I could put the address in and I'll just sit there and go, la, listen to my music, dance, and the car just be rolling on where I'm going."" (00:47:10, Speaker 7). Use cases named: reaching destinations the bus does not, not standing in the winter cold. Backdrop of fear that automation is already taking jobs (""Oh, yeah, it's horrible""). Bus vouchers volunteered as the low-tech version: ""bus vouchers would be good for people, too."" (00:48:32, Speaker 8)."
"transcripts/Focus Groups/Plaud Ministries of Love transcript.txt","Mutual aid extended to homeless neighbors at the door: ""it ain't just for me and my family it's other people in our neighborhood that know there's homeless... i'll come up to the door and you got something i can eat."" (00:46:25, Speaker 3). Intergenerational family living as a deliberate care model (""we're like the old school where you got all the family living"", 00:26:11). Being listened to is itself a service: ""Sometimes you just need someone to listen to you."" (00:42:32, Speaker 3). Several ""ideal meal"" plates are memorials to a lost spouse.","Capabilities: deep knowledge of the resource landscape (Community Compass, 211, produce days), self-taught cooking adapted for a diabetic household, shared-household meal logistics five days a week, peer help (""I work in real estate on the side. I can try and help you navigate that"", 00:09:10, Speaker 7). Constraints: a broken-down car threatening a job orientation, cannot afford glasses because of property taxes, a home misclassified as commercial and never given the homestead deduction in eight years, unresolved medication interactions, transportation named as why neighbors cannot reach the pantry.","The pantry visit is one node in a redistribution circuit: surplus cooked into daily meals handed out at the door. Mobility inside the household: ""Everybody goes to somebody else's different days."" (00:35:09, Speaker 7). For this group the pressing trip is to work and to a job orientation, not only the pantry. Information mobility is constant (which pantry stopped stocking meat, which store is cheaper). Outreach should be face to face: ""not everybody has the phone. sometimes just putting a couple people out handing out [flyers]"" (00:45:16, Speaker 3).","A nearby pantry replaced first-come-first-served with a card-shuffler lottery: ""you can be the first ones in line and not get out. Until six o'clock at night."" (00:22:13, Speaker 7). Value: flexibility for variable need and respect for time. No food choice, leaving diabetic clients with starch. A pantry narrowed its stock to snacks. Resource navigation gated behind a smartphone. A mandatory monthly class where the program failed to tell enrolled clients it had started. Property-tax system defaulted a widow's home to commercial, doubling her bill. Transit the intended riders cannot afford: ""what's the sense in having a public transportation if you still can't afford the public transportation"" (00:49:50, Speaker 7).","YES, the facilitator raises AVs directly. Qualified yes with an immediate misuse concern rooted in neighborhood knowledge: ""I think it would, but it would have to be on issues... they could be using it for drugs"" (00:48:34, Speaker 3). Concrete design condition offered by participants: ""limit the destinations to like pantries and grocery store"" (00:49:07 to 00:49:19, Speakers 3 and 7). Who it would help: older people who cannot drive and cannot afford the bus on a fixed income. Bus passes again volunteered as the immediate fix."
"transcripts/Focus Groups/Old Bethel Interview Transcript.docx","Single-informant interview with a community weaver / advocate. Help as a universal obligation and a self-perpetuating cycle: ""help is universal. To extend your hand"" (13:28). The church pantry is trusted because it is read as compassionate and non-judgmental. Shame and pride are the defining emotional texture across cultures: ""welfare, food, you're in the pantry, you're dirty. It's almost like the mental ill still, stigma."" (55:51). The pantry as a social and dignity space, not only food. Independence voiced as the client goal, sometimes as never wanting to come back.","Capabilities: the weaver is himself dense infrastructure (20 years, 3 pantries, recruits interpreters from among clients); multilingual refugee clients (""they speak six, seven... languages. We speak one"", 11:50); word-of-mouth networks (""the original internet right there"", 01:13:45); a client surplus-swap; resourcefulness in use. Constraints: transportation is named as the single biggest obstacle (no bus stop near the pantry, no sidewalks, walking with a box and children); language barrier at computer intake; no phone, wifi, or literacy for a digital job application; childcare cost exceeds the wage; benefit cliffs; demand tripled.","The pantry trip is routine and a source of stability: ""It's almost like, yeah, coming to a job almost."" (01:00:58). Multi-pantry circuits, two or three pantries a week. Walking with a stroller as a cart, cutting through a Dollar General lot because there is no safe route. The weaver runs a personal delivery route for homebound neighbors and a Christmas box operation that scaled to about twenty drivers. Information moves by mouth and by weekly sign-up tables at the pantry.","Shift from a choice or ""shopping"" model to a pre-packed box under volume pressure: ""Now we just put it in the box and move on. Because... the volume got so much from 100 to 350, 400, we couldn't just keep letting them stay in there."" (15:03). Visit frequency rationed from weekly to twice a month against continuous need. Card, number and ID intake. Adding a bus stop stalled behind an IndyGo feasibility study while people walk with boxes in the cold. A data-collection rule stopped the pantry recording nationality, hampering interpreter planning. The new building designed as a drive-through for flow. FSSA renamed ""family and social resources"". Hiring moved online, closing the walk-in route.","NO. No AV, automation, or future-mobility prompt was asked. Adjacent, not AV: the transportation-solution conversation is entirely low-tech; the weaver is lobbying IndyGo for a bus stop and names gas cards and bus passes as the resources to build out: ""Resource for like bus passes and stuff like that. We're gonna start trying to do that too. Gas cards"" (54:12)."
"transcripts/AI Interviews/Hope/Participant 01 Hope/Participant 01 Hope.docx","Reciprocity and immediate giving: the client's first move is to offer the interviewer a Medicare resource for others: ""I'm give you a flyer if you're interested in coming out."" (Interviewee 09:08:48). Gratitude that the pantry exists and is kind. Faith as what sustains. Solidarity: ""that makes my day better, to know that you're there for people when they're in their time of need."" (Interviewee 09:14:46).","Capability: multigenerational household support and active community organizing (""I have my godmother, 65, in my home and we got a 15 year old in the house"", 09:10:07); has a car, easy trip off the highway. Constraint: cost of food and medication rising (""the cost of food and everything just skyrocketing, including meds"", 09:12:15). First-time user, connected through a relative's church.","Practice of mobility: drives, values the highway-adjacent location as easy ""for probably a lot of us"". Meaning: the pantry connects into a household that is itself a care hub for an older adult and a teenager, and into a church referral network.","The misalignment here is in the research instrument, not the pantry service (client reports no barriers, no unmet want). The AI loops one scripted line at least four times, cuts the client off, and does not engage her relational bids (the Medicare flyer, offers to help others), acknowledging only with ""Understood"" (Alex 09:09:04). Value at stake: relational trust. A client who arrives wanting to give is processed only as an interview subject.","No formal AV or future-mobility prompt. Adjacent, automation reaction: asked how the AI interview felt, ""It was different, but cool."" (Interviewee 09:15:43)."
"transcripts/AI Interviews/Hope/Participant 02 Hope/Participant 02 Hope.docx","Sincerity and genuine care from pantry helpers is what makes the client comfortable: ""The sincerity from the pantry helpers."" (Interviewee 09:08:26). Being met and talked to in person, and served quickly. Family as both the reason and the support: ""My will to survive."" then ""My son."" (09:09:21 and 09:09:31).","Capability: has a vehicle, the trip is easy. Aspiration: wants to learn a craft skill and asks for help starting (""I would love to learn how to crochet""; ""I would like to get help on how to start doing it"", 09:10:13 and 09:10:27). Constraint: cannot afford enough food (""Able to afford more food"", 09:09:07). Came the first time out of immediate need.","Practice of mobility: drives, short easy trip; no care-for-others mobility mentioned. Practice at the pantry: a curbside or drive-up model, staff come out to the vehicle with paperwork and food.","No clear misalignment on the pantry service; the client asks for it to ""just stay the same"" (09:09:56). Minor, on the instrument: the AI repeats a question (""What helps you keep going when things are tough?"", 09:09:23 and 09:10:31) and cuts itself off; the client answers several prompts with ""Skip."" Contrary evidence: not every client experiences friction.","Not addressed in this transcript. The final AI-experience question was asked but the client's answer is missing (transcript truncated)."
"transcripts/AI Interviews/Hope/Participant 03 Hope/Participant 03 Hope.docx","Deservingness and solidarity: hesitates to take help in case someone else needs it more: ""Whether somebody else needs it more."" (Interviewee 08:45:30). Comfort and belonging matter and are not yet felt; this is a first visit and the dominant feeling is uncertainty: ""Just not sure if I'm in the right place."" (08:44:50). Friends as what sustains.","Capability: has a vehicle. Constraint: unpredictable income and the difficulty of budgeting around it (""Income predictability"", 08:46:25); a gap week when the school meal program is closed; first-time user, referred through school, arriving anxious (""A little bit of anxiety"", 08:44:38).","Practice of mobility: drives; first trip so no established routine. Meaning: the pantry is filling a specific calendar gap (the week school meals stop), used as a scheduled supplement rather than an emergency.","First-visit onboarding: an anxious first-timer is unsure whether she is even in the right place, and neither the pantry (before arrival) nor the AI resolves it (""What would help you feel more sure about being in the right place?"" / ""I don't know.""). Value at stake: equitable access and relational trust at the threshold. She also confirms uncertainty about the legitimacy of asking (""Do you ever feel uncertain about asking for help?"" / ""Yes."", 08:45:12). The client disengages, answering ""Skip"" or ""I don't know"" to about half the prompts.","No AV prompt. Adjacent, automation reaction, minimal: asked how the AI interview felt, ""Okay?"" (Interviewee 08:49:12), reading as disengagement rather than endorsement."
"transcripts/AI Interviews/Hope/Participant 04 Hope/Participant 04 Hope.docx","Being personally greeted and informed is what creates comfort: ""They come out and they talk to you. They introduce themselves and they let you know what they have available."" (Interviewee 08:42:40). Putting others first, especially families with children: ""I would rather somebody else to have it, especially if they have children."" (08:44:20). Faith and connection as what sustains. Gratitude framed as the pantry doing more than it realizes.","Capability: drives, easy familiar trip, knows the route and knows people at the pantry. Aspiration: to be the one who helps others (""If I was financially stable, that would be it"", 08:44:03). Constraint: low income, sharpened by the holidays (""money is low, and anything could help"", 08:42:14). First-time user, referred by a family member.","Practice of mobility: drives; trip is easy and familiar; no care-for-others mobility, though the client frames herself as someone who would give if able. Meaning: the pantry visit is timed to the holidays as a one-time reach for help, not yet an ongoing routine.","No clear misalignment on the pantry service (first visit, comfortable, ""no complaints""). On the instrument: the AI cuts itself off (""Right. How could the..."", 08:43:19) and there is an unexplained four-minute gap; the client declined the offered two-minute extension. Contrary evidence: another client who experiences the pantry as sufficient and warm.","Not addressed in this transcript. The client was offered an interview time extension and declined."
"transcripts/AI Interviews/Hope/Participant 05 Hope/Participant 05 Hope.docx","Universal need, no shame: ""Hey, it's Thanksgiving. Everybody need help?"" (Interviewee 08:32:15). Comfort asking, grounded simply in real need: ""No uncertainty."" then ""Because I need the help."" Resilience as a stance: ""You got to keep going. You got to keep push."" (08:34:50). (Transcript is degraded and interleaved with pantry-line crosstalk.)","Capability: has a car, easy trip; this client is also working the pantry line, collecting names and zip codes so people can hold their place (""I need to get your information so you can stay in line... What's the zip code?"", 08:35:07). Constraint: wants more meat than the pantry provides (""More meat."" / ""They're not giving it away."", 08:33:52).","Practice of mobility: drives. Also ""We work through the weekend"" and coordinating pickups, though the transcript is too broken to be sure for what. The client is simultaneously a recipient and a volunteer running intake, a blurred role.","Meat scarcity, the same complaint as the Ministries of Love focus group and Old Bethel (""More meat."" / ""They're not giving it away."", 08:33:52). Value at stake: flexibility for variable need. The AI interview was run in the middle of live pantry work and could not hold the client's attention: ""Same question."" (08:33:28), after three near-identical comfort questions in a row.","Not addressed in this transcript. Transcript truncated."
